factor_sample	program	sample	condition
2_neoadjuvant/W009	noise	W009	neoadjuvant
9_neoadjuvant/W010	noise	W010	neoadjuvant
2_neoadjuvant/W001	noise	W001	neoadjuvant
3_neoadjuvant/W009	noise	W009	neoadjuvant
1_neoadjuvant/W010	noise	W010	neoadjuvant
7_neoadjuvant/W002	noise	W002	neoadjuvant
5_neoadjuvant/W002	noise	W002	neoadjuvant
5_neoadjuvant/W003	noise	W003	neoadjuvant
4_neoadjuvant/W009	noise	W009	neoadjuvant
3_untreated/W132	noise	W132	untreated
8_neoadjuvant/W441	noise	W441	neoadjuvant
6_untreated/W495	noise	W495	untreated
9_neoadjuvant/W009	noise	W009	neoadjuvant
2_neoadjuvant/W010	noise	W010	neoadjuvant
4_neoadjuvant/W180	noise	W180	neoadjuvant
3_neoadjuvant/W944	noise	W944	neoadjuvant
2_neoadjuvant/W370	noise	W370	neoadjuvant
6_untreated/W040	noise	W040	untreated
2_neoadjuvant/W180	noise	W180	neoadjuvant
4_neoadjuvant/W944	noise	W944	neoadjuvant
8_neoadjuvant/W180	noise	W180	neoadjuvant
10_neoadjuvant/W944	noise	W944	neoadjuvant
7_neoadjuvant/W944	noise	W944	neoadjuvant
2_neoadjuvant/W944	noise	W944	neoadjuvant
1_neoadjuvant/W944	noise	W944	neoadjuvant
6_neoadjuvant/W944	noise	W944	neoadjuvant
8_neoadjuvant/W944	noise	W944	neoadjuvant
1_neoadjuvant/W180	noise	W180	neoadjuvant
10_neoadjuvant/W180	noise	W180	neoadjuvant
3_neoadjuvant/W180	noise	W180	neoadjuvant
5_neoadjuvant/W180	noise	W180	neoadjuvant
10_neoadjuvant/W050	noise	W050	neoadjuvant
1_neoadjuvant/W003	noise	W003	neoadjuvant
7_neoadjuvant/W003	noise	W003	neoadjuvant
1_neoadjuvant/W006	noise	W006	neoadjuvant
7_neoadjuvant/W010	noise	W010	neoadjuvant
8_untreated/W004	noise	W004	untreated
2_neoadjuvant/W050	noise	W050	neoadjuvant
4_untreated/W495	noise	W495	untreated
