factor_sample	program	sample	condition
2_neoadjuvant/W009	noise	W009	neoadjuvant
9_neoadjuvant/W010	striated myocyte	W010	neoadjuvant
2_neoadjuvant/W001	striated myocyte	W001	neoadjuvant
3_neoadjuvant/W009	noise	W009	neoadjuvant
1_neoadjuvant/W010	striated myocyte	W010	neoadjuvant
7_neoadjuvant/W002	podocyte	W002	neoadjuvant
5_neoadjuvant/W002	podocyte	W002	neoadjuvant
5_neoadjuvant/W003	podocyte	W003	neoadjuvant
4_neoadjuvant/W009	striated myocyte	W009	neoadjuvant
3_untreated/W132	striated myocyte	W132	untreated
8_neoadjuvant/W441	smooth myocyte	W441	neoadjuvant
6_untreated/W495	smooth myocyte	W495	untreated
9_neoadjuvant/W009	smooth myocyte	W009	neoadjuvant
2_neoadjuvant/W010	smooth myocyte	W010	neoadjuvant
4_neoadjuvant/W180	smooth myocyte	W180	neoadjuvant
3_neoadjuvant/W944	smooth myocyte	W944	neoadjuvant
2_neoadjuvant/W370	smooth myocyte	W370	neoadjuvant
6_untreated/W040	smooth myocyte	W040	untreated
2_neoadjuvant/W180	smooth myocyte	W180	neoadjuvant
4_neoadjuvant/W944	smooth myocyte	W944	neoadjuvant
8_neoadjuvant/W180	smooth myocyte	W180	neoadjuvant
10_neoadjuvant/W944	smooth myocyte	W944	neoadjuvant
7_neoadjuvant/W944	smooth myocyte	W944	neoadjuvant
2_neoadjuvant/W944	smooth myocyte	W944	neoadjuvant
1_neoadjuvant/W944	smooth myocyte	W944	neoadjuvant
6_neoadjuvant/W944	smooth myocyte	W944	neoadjuvant
8_neoadjuvant/W944	smooth myocyte	W944	neoadjuvant
1_neoadjuvant/W180	smooth myocyte	W180	neoadjuvant
10_neoadjuvant/W180	smooth myocyte	W180	neoadjuvant
3_neoadjuvant/W180	smooth myocyte	W180	neoadjuvant
5_neoadjuvant/W180	smooth myocyte	W180	neoadjuvant
10_neoadjuvant/W050	smooth myocyte	W050	neoadjuvant
1_neoadjuvant/W003	smooth myocyte	W003	neoadjuvant
7_neoadjuvant/W003	smooth myocyte	W003	neoadjuvant
1_neoadjuvant/W006	noise	W006	neoadjuvant
7_neoadjuvant/W010	noise	W010	neoadjuvant
8_untreated/W004	PAX3+ myogenic precursors	W004	untreated
2_neoadjuvant/W050	PAX3+ myogenic precursors	W050	neoadjuvant
4_untreated/W495	PAX3+ myogenic precursors	W495	untreated
5_neoadjuvant/W006	noise	W006	neoadjuvant
2_untreated/W132	PAX3+ myogenic precursors	W132	untreated
3_neoadjuvant/W370	PAX3+ myogenic precursors	W370	neoadjuvant
8_untreated/W495	PAX3+ myogenic precursors	W495	untreated
5_neoadjuvant/W010	smooth myocyte	W010	neoadjuvant
6_neoadjuvant/W010	smooth myocyte	W010	neoadjuvant
8_neoadjuvant/W001	smooth myocyte	W001	neoadjuvant
6_neoadjuvant/W009	smooth myocyte	W009	neoadjuvant
8_neoadjuvant/W009	smooth myocyte	W009	neoadjuvant
1_neoadjuvant/W001	smooth myocyte	W001	neoadjuvant
3_neoadjuvant/W010	smooth myocyte	W010	neoadjuvant
3_untreated/W495	smooth myocyte	W495	untreated
6_neoadjuvant/W001	smooth myocyte	W001	neoadjuvant
10_neoadjuvant/W001	smooth myocyte	W001	neoadjuvant
1_neoadjuvant/W009	smooth myocyte	W009	neoadjuvant
9_neoadjuvant/W050	smooth myocyte	W050	neoadjuvant
3_neoadjuvant/W002	smooth myocyte	W002	neoadjuvant
2_untreated/W008	smooth myocyte	W008	untreated
4_untreated/W040	smooth myocyte	W040	untreated
8_untreated/W007	smooth myocyte	W007	untreated
1_untreated/W612	smooth myocyte	W612	untreated
2_untreated/W005	smooth myocyte	W005	untreated
1_untreated/W241	smooth myocyte	W241	untreated
10_neoadjuvant/W003	smooth myocyte	W003	neoadjuvant
9_untreated/W012	smooth myocyte	W012	untreated
4_neoadjuvant/W050	smooth myocyte	W050	neoadjuvant
10_untreated/W495	smooth myocyte	W495	untreated
10_untreated/W004	smooth myocyte	W004	untreated
7_untreated/W007	smooth myocyte	W007	untreated
1_untreated/W132	smooth myocyte	W132	untreated
